,cpd00001__91__c0__93__,cpd00002__91__c0__93__,cpd00003__91__c0__93__,cpd00004__91__c0__93__,cpd00007__91__c0__93__,cpd00008__91__c0__93__,cpd00009__91__c0__93__,cpd00010__91__c0__93__,cpd00011__91__c0__93__,cpd00012__91__c0__93__,cpd00013__91__c0__93__,cpd00020__91__c0__93__,cpd00022__91__c0__93__,cpd00023__91__c0__93__,cpd00024__91__c0__93__,cpd00029__91__c0__93__,cpd00032__91__c0__93__,cpd00033__91__c0__93__,cpd00036__91__c0__93__,cpd00039__91__e0__93__,cpd00042__91__c0__93__,cpd00051__91__c0__93__,cpd00054__91__c0__93__,cpd00056__91__c0__93__,cpd00060__91__e0__93__,cpd00064__91__c0__93__,cpd00065__91__e0__93__,cpd00066__91__c0__93__,cpd00067__91__c0__93__,cpd00067__91__e0__93__,cpd00069__91__e0__93__,cpd00084__91__c0__93__,cpd00102__91__c0__93__,cpd00107__91__e0__93__,cpd00119__91__e0__93__,cpd00129__91__e0__93__,cpd00156__91__c0__93__,cpd00322__91__e0__93__,cpdUS12__91__c0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00035__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00076__91__e0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00281__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29/43,0,0,0,0,0,0,0,0,0,-169/43,0,488/43,18/43,0,0,0,-4,0,4/13,1,0,-72/43,0,0,0,0,0,0
885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45/68,-67/102,1/3,0,0,67/306,0,-101/612,0,14/663,0,0,-67/306,67/306,0,0,0,0,0
886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-335/33,-73/11,335/33,0,0,73/33,0,-19/12,0,0,0,0,0,73/33,-73/66,73/66,0,0,73/66
887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-620/11,-328/11,182,0,0,82/11,0,0,0,0,0,0,0,82/11,-41/11,41/11,193/550,82/11,41/11
888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3721/198,0,0,0,0,0,0,0,0,0,-87/22,-16/9,3829/198,0,31/66,0,0,0,-559/66,0,0,0,-62/33,4/9,0,0,0,4/9,0
889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9225/34,0,1025,0,0,0,0,-15775/34,0,15775/442,1650/17,0,0,0,0,0,1,0,0
890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13/111,0,1/3,5/111,0,1/111,0,0,0,0,4/111,0,-2/37,0,0,0,0,0,0
891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3003/23,-1872/23,26,52/23,0,1768/23,0,0,0,1,0,0,-1820/23,624/23,0,0,0,0,0
892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-479/71,0,408/71,2,0,2,0,0,0,0,0,0,-2,0,-1,1,0,0,1
893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1825/2,0,0,0,0,0,0,0,0,0,-150,0,2625/4,0,0,0,0,0,-1825/4,1025/104,0,0,0,0,0,0,1,0,0
